Laddningstidpunkt,Material,Tilläggstjänst per produkt,Kundens beställningsdatum,Verklig vikt,Försäljningsdokument,Enhet för längd/bredd/höjd,Företag,Fraktdragande vikt,Inhämtande terminal,Inlämningsperiod,Inlämningsställe,Summa nettoomsättning SD (inkl avgift),Valutakod,Villkorsdelsumma 3 ur kalkylschema,SD-dokumentets valuta,Kollinummer,Referensdokumentnummer,Försäljningskvantitet (st),Från Land,Till Land,Paketvikt,Räkenskapsår/period,Från Postnummer,Till Postnummer,Inhämtningsterminal,s_ord_item,samtaxering,Terminalavgift,Fakt tillägg/avgift,Drivmedels- och svaveltillägg,Kundnummer uppdragsgivare,spridande terminal,Viktenhet,Viktklass (taxerad vikt),Volymer i kubikmeter,Volymvikt (baserat på avtal),Avstånd Km,Sändnings ID,Bredd,Höjd,Längd,Kollislag,Prisgrupp
07Dec2019 15:45:00,000000000001001029,,2019-10-02,8.000,1510950371,M,F091,8.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445006,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003350,N,0.00,0.00,0.00,0020689885,,KG,8,0.027,8.000,00000,,0.270,0.260,0.390,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.300,1510950371,M,F091,6.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445013,7501465047,1,SE,SE,0000000007,201910,20210,20502,,003360,N,0.00,0.00,0.00,0020689885,,KG,6,0.015,6.300,00000,,0.210,0.240,0.290,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.120,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445020,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003370,N,0.00,0.00,0.00,0020689885,,KG,5,0.060,5.120,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,11.540,1510950371,M,F091,11.540,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445037,7501465047,1,SE,SE,0000000012,201910,20210,20502,,003380,N,0.00,0.00,0.00,0020689885,,KG,12,0.025,11.540,00000,,0.260,0.280,0.340,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,11.540,1510950371,M,F091,11.540,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445044,7501465047,1,SE,SE,0000000012,201910,20210,20502,,003390,N,0.00,0.00,0.00,0020689885,,KG,12,0.024,11.540,00000,,0.260,0.270,0.340,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.080,1510950371,M,F091,12.320,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445068,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003400,N,0.00,0.00,0.00,0020689885,,KG,7,0.044,7.080,00000,,0.390,0.270,0.420,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.060,1510950371,M,F091,12.600,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445075,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003410,N,0.00,0.00,0.00,0020689885,,KG,7,0.045,7.060,00000,,0.400,0.270,0.420,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.360,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445082,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003420,N,0.00,0.00,0.00,0020689885,,KG,6,0.060,6.360,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.560,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445099,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003430,N,0.00,0.00,0.00,0020689885,,KG,7,0.060,6.560,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,12.540,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445105,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003440,N,0.00,0.00,0.00,0020689885,,KG,13,0.060,12.540,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,10.000,1510950371,M,F091,10.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445112,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003450,N,0.00,0.00,0.00,0020689885,,KG,10,0.001,10.000,00000,,0.100,0.100,0.100,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,8.220,1510950371,M,F091,19.880,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445129,7501465047,1,SE,SE,0000000020,201910,20210,20502,,003460,N,0.00,0.00,0.00,0020689885,,KG,8,0.071,8.220,00000,,0.390,0.310,0.590,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,9.200,1510950371,M,F091,14.560,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445136,7501465047,1,SE,SE,0000000015,201910,20210,20502,,003470,N,0.00,0.00,0.00,0020689885,,KG,9,0.052,9.200,00000,,0.410,0.240,0.530,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,2.680,1510950371,M,F091,9.240,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445143,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003480,N,0.00,0.00,0.00,0020689885,,KG,3,0.033,2.680,00000,,0.340,0.270,0.360,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,2.680,1510950371,M,F091,9.240,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445150,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003490,N,0.00,0.00,0.00,0020689885,,KG,3,0.033,2.680,00000,,0.340,0.270,0.360,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,2.680,1510950371,M,F091,8.960,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445167,7501465047,1,SE,SE,0000000009,201910,20210,20502,,003500,N,0.00,0.00,0.00,0020689885,,KG,3,0.032,2.680,00000,,0.330,0.270,0.360,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.840,1510950371,M,F091,15.120,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445174,7501465047,1,SE,SE,0000000016,201910,20210,20502,,003510,N,0.00,0.00,0.00,0020689885,,KG,6,0.054,5.840,00000,,0.390,0.240,0.580,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,6.160,1510950371,M,F091,11.200,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445181,7501465047,1,SE,SE,0000000012,201910,20210,20502,,003520,N,0.00,0.00,0.00,0020689885,,KG,6,0.040,6.160,00000,,0.390,0.190,0.540,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.300,1510950371,M,F091,1.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445198,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003530,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.300,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.280,1510950371,M,F091,1.280,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445204,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003540,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.280,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.300,1510950371,M,F091,1.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445211,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003550,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.300,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.620,1510950371,M,F091,1.620,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445228,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003560,N,0.00,0.00,0.00,0020689885,,KG,2,0.003,1.620,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.280,1510950371,M,F091,1.280,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445235,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003570,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.280,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.300,1510950371,M,F091,1.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445242,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003580,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.300,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.280,1510950371,M,F091,1.280,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445259,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003590,N,0.00,0.00,0.00,0020689885,,KG,1,0.003,1.280,00000,,0.150,0.100,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.300,1510950371,M,F091,1.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445266,7501465047,1,SE,SE,0000000002,201910,20210,20502,,003600,N,0.00,0.00,0.00,0020689885,,KG,1,0.004,1.300,00000,,0.150,0.110,0.230,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.000,1510950371,M,F091,7.280,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445273,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003610,N,0.00,0.00,0.00,0020689885,,KG,7,0.026,7.000,00000,,0.300,0.220,0.390,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.960,1510950371,M,F091,29.680,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445280,7501465047,1,SE,SE,0000000030,201910,20210,20502,,003620,N,0.00,0.00,0.00,0020689885,,KG,6,0.106,5.960,00000,,0.380,0.490,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.480,1510950371,M,F091,10.080,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445297,7501465047,1,SE,SE,0000000011,201910,20210,20502,,003630,N,0.00,0.00,0.00,0020689885,,KG,5,0.036,5.480,00000,,0.150,0.290,0.820,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,10.000,1510950371,M,F091,10.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445303,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003640,N,0.00,0.00,0.00,0020689885,,KG,10,0.001,10.000,00000,,0.100,0.100,0.100,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,10.000,1510950371,M,F091,10.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445310,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003650,N,0.00,0.00,0.00,0020689885,,KG,10,0.001,10.000,00000,,0.100,0.100,0.100,,
